,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,np:g-xg,sca,gca,att 3rd,att pen,att,succ,succ%,prgc,1/3,cpa,year,team
0,2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Away,W,2,0,fr France,,,,,İlkay Gündoğan,4-2-3-1,Jesús Gil,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Germany
1,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,nl Netherlands,,,,48390.0,İlkay Gündoğan,4-2-3-1,Espen Eskås,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Germany
2,2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Home,D,0,0,ua Ukraine,,,,42789.0,İlkay Gündoğan,4-2-3-1,Walter Altmann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Germany
3,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,2,1,gr Greece,,,,45488.0,İlkay Gündoğan,4-2-3-1,José Luis Munuera,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Germany
4,2024-06-14,21:00,UEFA Euro,Group stage,Fri,Neutral,W,5,1,sct Scotland,2.1,0.0,72.0,65052.0,İlkay Gündoğan,4-2-3-1,Clément Turpin,Match Report,,19.0,9.0,47.4,0.21,0.44,20.7,1,1,2.9,2.7,39.0,10.0,298.0,28.0,18.0,6.0,33.3,20.0,26.0,6.0,2024,Germany
5,2024-06-19,18:00,UEFA Euro,Group stage,Wed,Neutral,W,2,0,hu Hungary,1.4,1.2,69.0,54000.0,İlkay Gündoğan,4-2-3-1,Danny Makkelie,Match Report,,19.0,7.0,36.8,0.11,0.29,17.8,0,0,0.6,0.6,37.0,3.0,272.0,34.0,12.0,4.0,33.3,23.0,25.0,7.0,2024,Germany
6,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Neutral,D,1,1,ch Switzerland,1.6,0.6,65.0,46685.0,İlkay Gündoğan,4-2-3-1,Daniele Orsato,Match Report,,18.0,3.0,16.7,0.06,0.33,15.9,0,0,-0.6,-0.6,33.0,2.0,207.0,33.0,16.0,10.0,62.5,24.0,26.0,8.0,2024,Germany
7,2024-06-29,21:00,UEFA Euro,Round of 16,Sat,Neutral,W,2,0,dk Denmark,2.6,1.2,55.0,61612.0,İlkay Gündoğan,4-2-3-1,Michael Oliver,Match Report,,14.0,8.0,57.1,0.07,0.13,21.6,1,1,-0.6,-0.8,29.0,3.0,179.0,18.0,28.0,10.0,35.7,21.0,19.0,4.0,2024,Germany
8,2024-07-05,18:00,UEFA Euro,Quarter-finals,Fri,Neutral,L,1,2,es Spain,2.1,1.4,52.0,54000.0,İlkay Gündoğan,4-2-3-1,Anthony Taylor,Match Report,Required Extra Time,23.0,5.0,21.7,0.04,0.2,16.8,0,0,-1.1,-1.1,44.0,2.0,229.0,45.0,18.0,7.0,38.9,24.0,17.0,5.0,2024,Germany
0,2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,0,cy Cyprus,,,62.0,48195.0,Andrew Robertson,3-4-3,Duje Strukan,Match Report,,11.0,6.0,54.5,0.27,0.5,,0,0,,,,,,,,,,,,,2024,Scotland
