,date,gf,ga,xg,xga,poss,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,sca,gca,att,succ,succ%,prgc,1/3,cpa,year,competition_importance,round_importance,venue_code,goal_difference,xg_diff,epr,att_touches,target,time_15:00:00,time_16:00:00,time_17:00:00,time_17:30:00,time_17:45:00,time_18:00:00,time_18:30:00,time_18:45:00,time_19:00:00,time_19:30:00,time_19:45:00,time_20:00:00,time_20:15:00,time_20:30:00,time_20:45:00,time_21:00:00,time_21:05:00,time_21:10:00,time_21:15:00,time_21:30:00,time_21:45:00,time_22:00:00,comp_UEFA Euro,comp_UEFA Euro Qualifying,round_Friendlies (M),round_Group stage,round_Quarter-finals,round_Round of 16,round_Semi-finals,venue_Home,venue_Neutral,result_L,result_W,opponent_al Albania,opponent_am Armenia,opponent_at Austria,opponent_az Azerbaijan,opponent_ba Bosnia & Herz'na,opponent_be Belgium,opponent_bg Bulgaria,opponent_bh Bahrain,opponent_br Brazil,opponent_by Belarus,opponent_ca Canada,opponent_ch Switzerland,opponent_cl Chile,opponent_co Colombia,opponent_cy Cyprus,opponent_cz Czechia,opponent_de Germany,opponent_dk Denmark,opponent_ec Ecuador,opponent_ee Estonia,opponent_eng England,opponent_es Spain,opponent_fi Finland,opponent_fo Faroe Islands,opponent_fr France,opponent_ge Georgia,opponent_gi Gibraltar,opponent_gn Guinea,opponent_gr Greece,opponent_hr Croatia,opponent_hu Hungary,opponent_ie Rep. of Ireland,opponent_il Israel,opponent_is Iceland,opponent_it Italy,opponent_kw Kuwait,opponent_kz Kazakhstan,opponent_li Liechtenstein,opponent_lt Lithuania,opponent_lu Luxembourg,opponent_lv Latvia,opponent_md Moldova,opponent_me Montenegro,opponent_mk N. Macedonia,opponent_mt Malta,opponent_mx Mexico,opponent_nir Northern Ireland,opponent_nl Netherlands,opponent_no Norway,opponent_pl Poland,opponent_pt Portugal,opponent_qa Qatar,opponent_ro Romania,opponent_rs Serbia,opponent_ru Russia,opponent_sct Scotland,opponent_se Sweden,opponent_si Slovenia,opponent_sk Slovakia,opponent_sm San Marino,opponent_tr Türkiye,opponent_ua Ukraine,opponent_us United States,opponent_uz Uzbekistan,opponent_ve Venezuela,opponent_wls Wales,opponent_xk Kosovo,captain_Aleksandar Mitrović,captain_Andreas Granqvist,captain_Andrew Robertson,captain_Andriy Pyatov,captain_Andriy Yarmolenko,captain_Antoine Griezmann,captain_Antonín Barák,captain_Artem Dzyuba,captain_Ashley Williams,captain_Balázs Dzsudzsák,captain_Ben Davies,captain_Berat Djimsiti,captain_Bernardo Silva,captain_Burak Yılmaz,captain_Callum McGregor,captain_Cenk Tosun,captain_Charlie Mulgrew,captain_Chris Gunter,captain_Ciro Immobile,captain_Cristiano Ronaldo,captain_Daley Blind,captain_Danny Ward,captain_David Alaba,captain_Declan Rice,captain_Dominik Szoboszlai,captain_Dušan Tadić,captain_Eden Hazard,captain_Elseid Hysaj,captain_Emre Belözoğlu,captain_Etrit Berisha,captain_Federico Bernardeschi,captain_Gareth Bale,captain_Georginio Wijnaldum,captain_Gianluigi Donnarumma,captain_Giorgio Chiellini,captain_Goran Pandev,captain_Granit Xhaka,captain_Grzegorz Krychowiak,captain_Guram Kashia,captain_Hakan Çalhanoğlu,captain_Harry Kane,captain_Hugo Lloris,captain_Ianis Hagi,captain_Ilija Nestorovski,captain_Jaka Bijol,captain_Jan Oblak,captain_Jan Vertonghen,captain_Jesús Navas,captain_John McGinn,captain_Joona Toivio,captain_Jordi Alba,captain_Jorginho,captain_João Moutinho,captain_Juhani Ojala,captain_Julian Baumgartlinger,captain_Juraj Kucka,captain_Kaan Ayhan,captain_Kamil Glik,captain_Kasper Schmeichel,captain_Kevin De Bruyne,captain_Kieran Trippier,captain_Konrad Laimer,captain_Kyle Walker,captain_Kylian Mbappé,captain_Leonardo Bonucci,captain_Luka Modrić,captain_Lukáš Hrádecký,captain_Manuel Neuer,captain_Marc Cucurella,captain_Marcel Sabitzer,captain_Marco Verratti,captain_Marcus Berg,captain_Marcus Danielsson,captain_Marcus Rashford,captain_Marek Hamšík,captain_Marek Suchý,captain_Marko Arnautović,captain_Mateo Kovačić,captain_Mikel Oyarzabal,captain_Milan Škriniar,captain_Mykola Matviyenko,captain_Nicolae Stanciu,captain_Nicolò Barella,captain_Oleksandr Zinchenko,captain_Olivier Giroud,captain_Paulus Arajuuri,captain_Pepe,captain_Peter Pekarík,captain_Pierre Højbjerg,captain_Piotr Zieliński,captain_Pontus Jansson,captain_Péter Gulácsi,captain_Raphaël Varane,captain_Raúl Albiol,captain_Ricardo Rodríguez,captain_Robert Lewandowski,captain_Rodri,captain_Romelu Lukaku,captain_Rúben Dias,captain_Sebastian Larsson,captain_Sergio Busquets,captain_Sergio Ramos,captain_Simon Kjær,captain_Stefan Ristovski,captain_Stephan Lichtsteiner,captain_Steven Naismith,captain_Taras Stepanenko,captain_Tim Sparv,captain_Tomáš Souček,captain_Toni Kroos,captain_Uğurcan Çakır,captain_Virgil van Dijk,captain_Vladimír Darida,captain_Xherdan Shaqiri,captain_Youri Tielemans,captain_Ádám Szalai,captain_Álvaro Morata,captain_İlkay Gündoğan,formation_3-3-2-2,formation_3-3-3-1,formation_3-4-1-2,formation_3-4-3,formation_3-5-1-1,formation_3-5-2,formation_4-1-3-2,formation_4-1-4-1,formation_4-2-2-2,formation_4-2-3-1,formation_4-3-1-2,formation_4-3-2-1,formation_4-3-3,formation_4-4-1-1,formation_4-4-2,formation_4-4-2◆,formation_4-5-1,formation_5-3-1-1,formation_5-3-2,formation_5-4-1,team_Austria,team_Belgium,team_Croatia,team_Czechia,team_Denmark,team_England,team_Finland,team_France,team_Georgia,team_Germany,team_Hungary,team_Italy,team_Netherlands,team_North,team_Poland,team_Portugal,team_Romania,team_Russia,team_Scotland,team_Serbia,team_Slovakia,team_Slovenia,team_Spain,team_Sweden,team_Switzerland,team_Turkiye,team_Ukraine,team_Wales
0,2019-03-21,3.0,1.0,,,60.0,25.0,8.0,32.0,0.12,0.38,,0,0,,,,,,,,,,2021,2.0,2.0,1,2.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-03-21,0.0,2.0,,,44.0,16.0,5.0,31.3,0.0,0.0,,0,0,,,,,,,,,,2021,2.0,2.0,0,-2.0,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-03-21,1.0,3.0,,,39.0,4.0,2.0,50.0,0.25,0.5,,0,0,,,,,,,,,,2021,2.0,2.0,0,-2.0,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2019-03-21,0.0,3.0,,,59.0,10.0,2.0,20.0,0.0,0.0,,0,0,,,,,,,,,,2021,2.0,2.0,0,-3.0,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,2019-03-21,3.0,1.0,,,61.0,15.0,6.0,40.0,0.13,0.33,,1,1,,,,,,,,,,2021,2.0,2.0,1,2.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-03-21,0.0,1.0,,,58.0,16.0,2.0,12.5,0.0,0.0,,0,0,,,,,,,,,,2021,2.0,2.0,1,-1.0,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-03-21,2.0,1.0,,,74.0,21.0,5.0,23.8,0.1,0.4,,0,0,,,,,,,,,,2021,2.0,2.0,1,1.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-03-21,2.0,0.0,,,56.0,11.0,7.0,63.6,0.18,0.29,,0,0,,,,,,,,,,2021,2.0,2.0,1,2.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2019-03-21,4.0,0.0,,,62.0,10.0,6.0,60.0,0.3,0.5,,1,1,,,,,,,,,,2021,2.0,2.0,1,4.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-03-21,1.0,0.0,,,42.0,11.0,5.0,45.5,0.09,0.2,,0,0,,,,,,,,,,2021,2.0,2.0,0,1.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
